,global_sea_ice_extent,sea_temp_anomaly,total_ice_sheet_mass_change,global_mean_sea_level
2011-04-30,20.2044,0.37291,-3328.4665000000005,15.12
2011-05-31,22.773516129032256,0.38896,-3302.2750676378773,15.69
2011-06-30,24.081966666666666,0.43709,-3356.8583870967745,19.89
2011-07-31,23.476935483870967,0.48177,-3443.1048135921633,20.92
2011-08-31,23.307903225806452,0.46453,-3608.606264199279,27.68
2011-09-30,23.30056666666667,0.38835,-3616.9467338906306,29.19
2011-10-31,24.683032258064515,0.31064,-3663.9480923248057,31.41
2011-11-30,25.52916666666667,0.34405,-3722.8899999999994,27.22
2011-12-31,23.352548387096775,0.30083,-3823.54,26.87
2012-01-31,19.383290322580645,0.29779,-3836.3326751946606,28.25
2012-02-29,18.10658620689655,0.32166,-3845.732652325875,28.33
2012-03-31,19.74651612903226,0.33618,-3789.331218809487,26.53
2012-04-30,21.935000000000002,0.39654,-3732.8109853400624,26.41
2012-05-31,23.468806451612902,0.46796,-3758.3457534246572,26.3
2012-06-30,24.221199999999996,0.46971,-3803.4857863328607,29.57
2012-07-31,23.969774193548385,0.52013,-3989.5455506117905,34.18
2012-08-31,22.82025806451613,0.55915,-4204.348993325918,35.79
2012-09-30,22.773433333333333,0.54827,-4283.553242424243,40.41
2012-10-31,24.479741935483872,0.52533,-4313.4800000000005,41.54
2012-11-30,25.4979,0.51248,-4340.232815047022,39.84
2012-12-31,22.400612903225806,0.43406,-4387.58169076752,38.84
2013-01-31,19.245935483870966,0.37743,-4534.898731924361,36.54
2013-02-28,18.559964285714287,0.41067,-4611.7311912225705,35.95
2013-03-31,20.04941935483871,0.39742,-4516.56803030303,35.83
2013-04-30,21.921366666666668,0.43457,-4408.812352369852,31.97
2013-05-31,23.917,0.47614,-4432.926284119107,30.23
2013-06-30,25.514966666666666,0.41605,-4443.499783333334,29.62
2013-07-31,24.940225806451615,0.57561,-4505.335563275435,32.05
2013-08-31,24.677290322580646,0.57897,-4561.608131868132,34.68
2013-09-30,24.596933333333332,0.55462,-4613.324065934066,38.18
2013-10-31,26.47261290322581,0.48511,-4664.521753841264,40.43
2013-11-30,26.8112,0.53781,-4711.167396377568,39.88
2013-12-31,24.03783870967742,0.43694,-4760.099731182796,35.79
2014-01-31,19.974290322580643,0.42842,-4849.031202346041,35.76
2014-02-28,18.26057142857143,0.41518,-4876.304772727273,37.6
2014-03-31,19.659032258064514,0.44835,-4884.235601173021,37.3
2014-04-30,22.430866666666667,0.55789,-4808.246,33.66
2014-05-31,24.22006451612903,0.58253,-4737.267208008899,31.05
2014-06-30,25.71926666666667,0.65035,-4812.7468205413425,33.23
2014-07-31,25.214193548387094,0.64119,-4968.244838709677,38.02
2014-08-31,24.985838709677424,0.73719,-5092.819808280516,42.73
2014-09-30,24.976333333333333,0.71373,-5021.589136189481,43.37
2014-10-31,26.235258064516128,0.62964,-5067.298626757003,45.77
2014-11-30,26.502366666666667,0.56137,-5137.652345454546,41.3
2014-12-31,24.280870967741937,0.55082,-5233.823230769231,43.55
2015-01-31,20.454193548387096,0.55126,-5338.34699210467,40.96
2015-02-28,18.199571428571428,0.51858,-5418.586038961039,44.94
2015-03-31,19.334774193548384,0.54056,-5364.852016129033,43.65
2015-04-30,22.26636666666667,0.66701,-5311.714717532467,43.7
2015-05-31,24.18422580645161,0.6901,-5293.314415584416,41.27
2015-06-30,25.3538,0.67988,-5354.995714285715,46.09
2015-07-31,25.15309677419355,0.75634,-5452.69279849183,50.21
2015-08-31,23.34809677419355,0.7579,-5662.619829103043,54.13
2015-09-30,23.05976666666667,0.82941,-5684.805706896552,58.27
2015-10-31,25.37548387096774,0.79933,-5680.630294117647,59.79
2015-11-30,26.02126666666667,0.78759,-5676.859656862745,56.78
2015-12-31,22.7,0.82739,-5671.805199240987,52.25
2016-01-31,18.14590322580645,0.8346,-5658.182041156841,53.06
2016-02-29,16.992241379310347,0.72615,-5718.040069902353,52.61
2016-03-31,18.468967741935487,0.80794,-5672.113646138807,52.96
2016-04-30,20.902866666666664,0.75777,-5595.837698412699,49.38
2016-05-31,22.026806451612902,0.70494,-5521.034411250595,45.31
2016-06-30,23.654833333333332,0.72439,-5494.046678160919,48.34
2016-07-31,23.961387096774196,0.76817,-5555.640897092866,48.51
2016-08-31,23.262580645161293,0.75802,-5703.685744630261,49.36
2016-09-30,22.67856666666666,0.69842,-5732.699292929292,54.1
2016-10-31,23.541645161290322,0.7092,-5716.925555555556,53.61
2016-11-30,22.8805,0.58271,-5701.137537239058,56.5
2016-12-31,19.738806451612902,0.56112,-5677.98804493882,51.95
2017-01-31,16.97403225806452,0.62426,-5654.223840775465,48.55
2017-02-28,16.407357142857144,0.66555,-5746.799714285715,47.19
2017-03-31,16.989129032258063,0.66514,-5881.269142857143,48.71
2017-04-30,19.1894,0.72188,-5889.506390476191,48.24
2017-05-31,21.644290322580645,0.65802,-5811.2093993325925,45.75
2017-06-30,23.165166666666668,0.65395,-5838.475490608354,47.7
2017-07-31,23.23603225806452,0.70197,-5857.433902439025,50.11
2017-08-31,22.699548387096772,0.74569,-5875.555040650406,55.32
2017-09-30,22.7278,0.6185,-5893.3839024390245,58.6
2017-10-31,24.543225806451613,0.63136,-5911.212764227643,57.79
2017-11-30,24.605866666666667,0.57322,-5929.04162601626,59.99
2017-12-31,21.22474193548387,0.47841,-5946.870487804878,57.38
2018-01-31,17.28832258064516,0.51155,-5964.991626016261,53.83
2018-02-28,16.293035714285715,0.48452,-5982.23593495935,52.38
2018-03-31,17.837580645161292,0.55747,-5999.480243902439,52.6
2018-04-30,19.729233333333333,0.59743,-6017.309105691057,49.42
2018-05-31,21.553387096774195,0.63019,-6035.137967479675,50.65
2018-06-30,23.662733333333335,0.60652,-6060.545869701897,51.77
2018-07-31,23.96841935483871,0.60473,-6129.918636825578,54.47
2018-08-31,23.032193548387095,0.65711,-6220.428495575221,57.4
2018-09-30,22.746533333333335,0.65663,-6310.265840707965,63.66
2018-10-31,23.866290322580642,0.68747,-6399.842256161384,65.41
2018-11-30,24.92496666666667,0.71479,-6395.678717171717,61.85
2018-12-31,21.049612903225807,0.68851,-6478.740080897968,58.62
2019-01-31,17.435548387096773,0.64445,-6602.15363737486,58.65
2019-02-28,17.048714285714286,0.66093,-6682.2677339901475,59.33
2019-03-31,17.74225806451613,0.70582,-6655.216290322581,59.42
2019-04-30,19.1526,0.69814,-6590.596333333333,56.99
2019-05-31,21.038354838709676,0.65642,-6447.709221357063,58.58
2019-06-30,22.844700000000003,0.66425,-6528.116501567398,59.34
2019-07-31,22.891483870967743,0.80573,-6629.611972899181,61.48
2019-08-31,22.50406451612903,0.82872,-6969.236971382343,67.3
2019-09-30,22.6987,0.73526,-7123.605003134796,70.83
2019-10-31,23.671612903225807,0.74281,-7116.676740823137,68.45
2019-11-30,24.3476,0.74774,-7081.317930337861,68.53
2019-12-31,21.311806451612902,0.71392,-7187.0730818754855,65.55
2020-01-31,18.234096774193546,0.77289,-7447.2581535038935,60.27
2020-02-29,17.562206896551725,0.72363,-7543.033548805533,59.0
2020-03-31,18.732709677419354,0.79024,-7478.594794721407,60.54
2020-04-30,20.28386666666667,0.77147,-7334.129643678162,59.4
2020-05-31,22.214225806451616,0.71318,-7198.128849226412,62.32
2020-06-30,23.867266666666666,0.69025,-7186.121315569488,59.36
2020-07-31,23.01538709677419,0.76132,-7331.301357063403,62.29
2020-08-31,22.82835483870968,0.82206,-7411.847956315098,65.19
2020-09-30,22.8389,0.68883,-7473.604106060606,69.84
2020-10-31,23.827387096774192,0.63366,-7487.888476084538,70.29
2020-11-30,25.216033333333336,0.60219,-7537.343554510623,68.58
2020-12-31,22.304129032258064,0.54915,-7603.285336569252,65.24
2021-01-31,18.278193548387097,0.51858,-7724.509232480534,66.59
2021-02-28,17.28182142857143,0.4962,-7607.766034482758,62.45
2021-03-31,19.14174193548387,0.55531,-7560.814032258064,62.55
2021-04-30,20.924266666666668,0.60388,-7382.052666666667,64.58
2021-05-31,23.082709677419352,0.64274,-7426.291290322581,63.58
2021-06-30,24.306733333333334,0.6351,-7560.092933333333,62.9
2021-07-31,24.098903225806453,0.73084,-7633.1974171301445,66.31
2021-08-31,23.90909677419355,0.72425,-7728.421728519905,71.72
2021-09-30,23.461633333333335,0.71273,-7821.864547196099,74.34
2021-10-31,24.505451612903226,0.69087,-7755.136618464961,75.67
2021-11-30,24.8718,0.68133,-7895.73658342041,71.89
2021-12-31,21.396677419354837,0.59451,-7824.122605588702,69.79
2022-01-31,17.733774193548385,0.64757,-7847.733203559512,70.35
2022-02-28,16.773357142857144,0.5981,-7800.3171182266005,67.08
2022-03-31,17.408451612903228,0.62775,-7686.1808064516135,65.36
2022-04-30,19.930466666666668,0.62421,-7496.068166666666,67.66
2022-05-31,22.203387096774193,0.64816,-7390.988442714128,64.0
2022-06-30,22.980666666666664,0.7157,-7410.67335667015,64.09
2022-07-31,23.14764516129032,0.69485,-7574.679310007753,70.38
2022-08-31,22.968645161290322,0.7544,-7660.957718340243,73.12
2022-09-30,22.875766666666667,0.7039,-7697.942415186347,76.84
2022-10-31,24.01958064516129,0.68321,-7718.29531701891,77.44
2022-11-30,24.7741,0.66262,-7632.515172413793,73.87
